Region,Province,Municipality,Location,Day,Month,Year,Type,Longitude,Latitude,Number_of_events,Group_ID,Extreme_event,Cluster_15,Cluster_30,Cluster_90,None
Piemonte,Torino,Bardonecchia,Millaures,5,5,1973,Sliding,6.72059,45.07383,1,1,True,False,False,False,False
Piemonte,Torino,Carema,Carema,8,4,1986,Fall,7.81366,45.58513,1,2,True,False,False,False,False
Piemonte,Torino,Cesana Torinese,Cesana - Claviere (tra le due località lungo la SS n. 24 del Monginevro),16,8,1998,Debris flow,6.76311,44.94608,1,3,False,False,False,False,True
Piemonte,Torino,Chianocco,Chianocco - Lungo il corso del Torrente Pianfè,29,8,1977,Debris flow,7.16755,45.16572,1,5,True,True,True,True,False
Piemonte,Torino,Exilles,Combarà - Lungo la SS n. 24 del Monginevro al km 66+100,26,3,1980,Fall,6.94608,45.10484,1,7,True,False,False,False,False
Piemonte,Torino,Exilles,Exilles - Lungo la SS n. 24  a 1 km dall'abitato,19,3,1969,Fall,6.94886,45.10667,1,8,True,False,False,False,False
Piemonte,Torino,Exilles,Morliere (Cels),14,2,1984,Fall,6.94421,45.1078,1,9,False,False,True,False,False
Piemonte,Torino,Exilles,Forte Sapè - In destra orografica della Dora Riparia a  quota 1300 m,21,6,1997,Fall,6.91973,45.08197,1,10,True,False,False,False,False
Piemonte,Torino,Front,Front,23,10,1963,Flow,7.6609,45.2811,1,11,False,False,False,False,True
Piemonte,Torino,Givoletto,Givoletto,24,6,1959,Flow,7.49901,45.1616,1,12,True,False,False,False,False
Piemonte,Torino,Gravere,Gravere - Lungo la linea ferroviaria Torino-Modane,18,2,1974,Sliding,7.0105,45.13365,2,6,True,False,False,False,False
Piemonte,Torino,Locana,Rosone,10,4,1970,Fall,7416,45.4354,1,13,True,False,False,False,False
Piemonte,Torino,Moncalieri,Moncalieri - Via Segantini,13,3,1972,Sliding,7.69524,45.00589,1,14,True,True,True,True,False
Piemonte,Torino,Parella,Parella (Comune di),5,11,1994,Flow,7.79101,45.43059,1,15,True,False,False,False,False
Piemonte,Torino,Perrero,Chiabrano - Zona ad ovest dell'abitato,20,5,1977,Flow,7.09971,44.94767,8,4,True,False,False,False,False
Piemonte,Torino,Perrero,Perrero - Zona periferica dell'abitato,20,3,1977,Debris flow,7.11373,44.94053,1,16,True,False,False,False,False
Piemonte,Torino,Pessinetto,Pessinetto,2,10,1993,Sliding,7.40635,45.29023,1,17,True,True,True,True,False
Piemonte,Torino,Prali,Prali (Comune di),20,5,1977,Sliding,7.05793,44.90597,8,4,True,False,False,False,False
Piemonte,Torino,Prali,Crosetto - Lungo la valle in prossimità dell'abitato,20,5,1977,Debris flow,7.08027,44.92724,8,4,True,False,False,False,False
Piemonte,Torino,Pramollo,Turnim,18,12,1960,Flow,7.19952,44.90713,1,18,True,False,False,False,False
Piemonte,Torino,Quincinetto,Quincinetto - Lungo la A5 all'altezza del Rio Piasco,24,9,1981,Debris flow,7.81127,45.56357,8,19,True,False,False,True,False
Piemonte,Torino,Salbertrand,Casses,15,6,1957,Sliding,6.85486,45.09986,1,20,True,False,True,False,False
Piemonte,Torino,Sant'Ambrogio di Torino,Sant'Ambrogio di Torino - Lungo la SP per la Sacra di San Michele,13,4,1998,Fall,7.35349,45.09967,1,21,True,False,False,False,False
Piemonte,Torino,Sestriere,Comba Cassen,9,6,1978,Debris flow,6.88562,44.94871,2,22,False,False,False,False,True
Piemonte,Torino,Tavagnasco,Tavagnasco - Lungo la linea ferroviaria in prossimità dell'abitato,27,5,1951,Debris flow,7.82335,45.55226,1,23,True,False,False,False,False
Piemonte,Torino,Trausella,Trausella,2,5,1977,Flow,7.76457,45.49142,1,24,True,False,False,False,False
Piemonte,Vercelli,Borgosesia,Agnona,4,11,1968,Flow,8.25784,45.72748,1,25,True,False,False,True,False
Piemonte,Vercelli,Borgosesia,Cascine,10,11,1951,Flow,8.25881,45.71736,4,26,True,True,False,False,False
Piemonte,Vercelli,Civiasco,Peracino,11,11,1951,Complex,8.29018,45.80938,4,26,True,False,False,False,False
Piemonte,Vercelli,Quarona,Quarona - Lungo la SP Cavaglia-Valmaggiore,8,5,1996,Fall,8.28384,45.76903,1,28,True,False,False,False,False
Piemonte,Vercelli,Varallo,Prati di Cervarolo - Lungo la mulattiera,4,1,1972,Fall,8.25344,45.84575,1,29,True,False,False,False,False
Piemonte,Vercelli,Varallo,Varallo - Via Garibaldi,13,11,1991,Fall,8.25785,45.81691,1,30,True,False,False,False,False
Piemonte,Vercelli,Varallo,Varallo - Via Oberdan,5,11,1994,Flow,8.25468,45.81849,2,31,True,True,False,True,False
Piemonte,Vercelli,Vocca,Chiesa - Lungo la SS n. 299 della Valsesia,16,5,1998,Fall,8.18859,45.83217,1,34,False,False,False,False,True
Piemonte,Novara,Pella,Ronco,28,3,1995,Fall,8.38127,45.82709,1,35,False,False,False,False,True
Piemonte,Novara,Pella,Pella - Lungo la strada per Ronco,5,9,1998,Fall,8.38382,45.82013,4,32,True,False,False,False,False
Piemonte,Novara,Suno,Imperio,28,5,1998,Flow,8.55829,45.6263,3,36,True,False,False,False,False
Piemonte,Cuneo,Acceglio,Villaro - Pontemaira (tra le due località),13,6,1957,Fall,6.97237,44.47731,1,37,True,False,True,True,False
Piemonte,Cuneo,Bergolo,Blangera,4,3,1978,Sliding,8.17328,44.55612,1,40,True,False,False,False,False
Piemonte,Cuneo,Castelletto Uzzone,Castelletto Uzzone,25,8,1967,Flow,8.18922,44.4937,1,41,False,False,False,False,True
Piemonte,Cuneo,Castellino Tanaro,Castellino Tanaro - Presso la stazione ferroviaria,7,1,1973,Sliding,7.97688,44.41716,1,42,True,True,False,False,False
Piemonte,Cuneo,Castellino Tanaro,Castellino Tanaro - Presso la stazione ferroviaria,23,1,1973,Sliding,7.97688,44.41716,1,43,True,False,False,False,False
Piemonte,Cuneo,Castelmagno,Castelmagno - Lungo la strada  per Chiappi e Chiotti,21,5,1977,Fall,7.19471,44.39702,1,44,True,False,False,False,False
Piemonte,Cuneo,Ceva,Ceva - Rocca del Forte lungo la linea ferroviaria,19,7,1967,Fall,8.03652,44.39014,1,45,False,False,False,False,True
Piemonte,Cuneo,Entracque,Valle Monte Colombo,29,8,1992,Debris flow,7.40602,44.15544,1,47,False,False,False,True,False
Piemonte,Cuneo,Envie,Envie,24,9,1993,Debris flow,7.37349,44.68239,1,48,True,False,False,False,False
Piemonte,Cuneo,Gottasecca,Cosana,18,4,1962,Sliding,8.19047,44.44911,1,49,True,False,False,False,False
Piemonte,Cuneo,Gottasecca,Piano,4,11,1968,Sliding,8.17076,44.46664,1,50,True,False,False,False,False
Piemonte,Cuneo,Gottasecca,Valle,12,11,1951,Flow,8.19816,44.45702,5,51,True,True,True,False,False
Piemonte,Cuneo,Rodello,Rodello - Lungo la sponda destra del Rio Mazzoni presso l'abitato,18,2,1974,Sliding,8.06092,44.63035,3,46,True,False,False,False,False
Piemonte,Cuneo,Santa Vittoria d'Alba,Santa Vittoria d'Alba - Lungo la linea ferroviaria Cavalermaggiore-Alessandria,23,2,1977,Flow,7.93243,44.69485,1,53,False,False,False,False,True
Piemonte,Cuneo,Santa Vittoria d'Alba,Santa Vittoria d'Alba - Lungo la linea ferroviaria Cavalermaggiore-Alessandria,18,5,1977,Flow,7.93243,44.69485,1,54,True,False,True,True,False
Piemonte,Cuneo,Santa Vittoria d'Alba,Santa Vittoria d'Alba Stazione - Corretti (tra le due località lungo la linea ferroviaria),24,5,1978,Flow,7.91698,44.69701,2,55,True,False,False,True,False
Piemonte,Cuneo,Torre Mondovì,Torre Mondovì (Comune di),5,11,1994,Debris flow,7.90063,44.35349,2,56,True,True,False,False,False
Piemonte,Cuneo,Valdieri,Tetti Niot - A monte di,13,6,2000,Debris flow,7.28626,44.23318,42,38,True,True,False,True,False
Piemonte,Asti,Asti,Monferrato (zona a sud di Asti),11,3,1972,Sliding,8.23536,44.86553,2,39,True,True,True,True,False
Piemonte,Asti,Asti,Boana - Bivio San Marzanotto (tra le due località lungo la SP),26,1,1997,Fall,8.20963,44.86829,1,57,False,False,False,False,True
Piemonte,Asti,Castelnuovo Belbo - Incisa Scapaccino,Castelnuovo Belbo - Incisa Scapaccino (tra le due località all'imbocco della galleria ferroviaria),13,3,1980,Flow,8.40292,44.79858,1,58,True,False,False,False,False
Piemonte,Asti,Castel Rocchero,Castel Rocchero,19,2,1992,Sliding,8.41708,44.72045,1,59,False,False,False,False,True
Piemonte,Asti,Castel Rocchero,Castel Rocchero,19,2,1972,Sliding,8.41708,44.72045,4,52,True,True,True,True,False
Piemonte,Asti,Cessole,Le Rocche di Cessole - Lungo la SS n. 29,9,3,1972,Fall,8.24691,44.64717,2,60,True,True,True,True,False
Piemonte,Asti,Montabone,Montabone,27,8,1968,Fall,8.39301,44.69933,1,61,True,False,False,False,False
Piemonte,Asti,Montaldo Scarampi,Montaldo Scarampi,23,3,1965,Complex,8.25981,44.8303,1,62,False,False,False,False,True
Piemonte,Asti,Vinchio,Vinchio - Lungo la SP per Vaglio Serra,18,2,1972,Debris flow,8.32976,44.80691,4,52,True,True,True,True,False
Piemonte,Alessandria,Acqui Terme,Acqui Terme - Lungo il corso del Torrente Caliogna,20,3,1977,Sliding,8.48099,44.68715,1,64,True,False,False,False,False
Piemonte,Alessandria,Cabella Ligure,Montaldo di Cosola,11,11,1976,Debris flow,9.17957,44.67154,1,65,True,True,True,True,False
Piemonte,Alessandria,Cantalupo Ligure,Cantalupo Ligure - Lungo la SP Val Borbera poco dopo l'abitato,11,2,1977,Flow,9.04856,44.71634,1,66,False,False,False,False,True
Piemonte,Alessandria,Cantalupo Ligure,Costa,8,9,1995,Fall,9.03573,44.7451,1,67,True,False,False,False,False
